no_college,college
-13454.81453994972,39893.92675493516
3373.645172872652,14222.850101305567
8741.595822406152,3708.1056862698956
854.7307318367323,-5635.300293792718
6331.421545426436,2175.5109325491053
19178.2668251177,-21714.749404656108
-13916.41804011894,-19709.64316484842
8894.722195767186,302.6172010422935
14284.866738452934,-5040.917954592059
-94.66841093510659,-29315.00600159056
1827.184438552819,-18449.12476981919
13628.705581404685,792.0486621353112
-8977.667993691812,9876.40366077206
1082.0561923386297,-36564.58336458106
6735.290676753427,1829.458237775199
-7736.636846559056,13415.584380460472
2473.9213916145727,-1621.561030153016
14473.819077252572,25284.82179574956
13422.151942426639,-14067.763859829478
3617.06655167568,-811.5634741124716
2874.3132960232915,-31323.241523045755
-5350.975648429307,4982.96336102986
-2752.8792341939784,-6808.31977058954
14992.319581301963,8343.816774973557
-4966.672860544755,-6529.335761383117
-2825.9780050761506,-17805.880470871773
6507.561531832586,-32163.198595188474
-5343.894910770858,-46447.44589941171
-806.0328480739071,-39344.38363077331
1047.3211270262395,550.5362085712233
-5421.283289946312,9672.082214356786
6027.490040956983,2886.7527253365142
691.0659074647496,-24008.81254719865
363.0368654491582,17704.612946847225
2401.47453570712,17738.700894364458
7490.137400387194,13.727183911187353
-1050.6097887409992,-13864.747637028451
62.53006122546083,5216.7296096595965
1431.469084130979,10133.739180278933
11415.576601192512,11286.03675191215
13149.051040377912,1223.255054482305
1622.1917332368089,-2171.292342501559
1426.2664247532146,-3093.9047276698
4872.613148603962,19009.68349806381
-3826.3967347064277,-9753.927948588673
-9240.800986794804,-18404.83760970663
5722.476025735985,17959.505222146578
19518.997883354943,-7125.902742423539
16963.8860993913,20638.001801960996
8639.052999045743,13286.008354876629
-11823.156514275019,19394.931451449076
4262.098876414532,33512.495260105556
5800.048823053463,39764.87510891931
-6361.204397218404,-19741.166910056563
-270.7405023825496,-36600.61403915222
-6768.812212649562,20162.832596329434
1715.5411117623887,-17382.087346197564
14361.103701317079,-10303.962628940006
23892.860742473036,-10004.329315242281
6334.656966171452,-5451.558869705063
-13339.298314934791,767.6449830255972
12373.94059798707,1378.6848836671645
9511.608106244896,34803.4032561434
25084.107393638053,26125.53271671377
76.55565779262835,-2898.6834429754344
-9235.915600005337,31246.946210496502
-2269.469890609913,24843.074163401423
-3705.9639683166324,29225.860363158
2889.3762788184513,-19716.727627022006
8174.945088835965,18512.289491462565
-4096.635138533239,24349.744485545078
7390.962680034059,14629.003458020155
20479.647052498094,22679.87810147676
13322.684059275729,43758.360042135864
-183.32488707809128,4424.071035192434
6000.987320526217,-18780.44781429534
-18018.855160956507,16768.858348816586
