no_college,college
-6552.174415699172,-6060.298766844326
1492.2885088065505,32875.53792672573
-7301.732349514714,12517.90211722081
9267.932686168773,21799.38233124548
4676.402063817235,-33593.61775085625
8130.75421106809,-7051.990244703686
-2094.346773387886,22888.21997897473
1654.7607114373986,-353.60658838931306
12295.426789509438,12120.905666992538
1704.7606134676525,-13848.711673720447
15344.484665680246,-35255.886522795096
6056.223807230736,-2288.8047808956017
-5925.247009798144,28403.962260972396
-15658.207788131886,5152.872966681703
-8718.386659640488,-5651.231500437477
16132.700015008082,-19685.93188225632
-15937.129849322497,25614.72717190842
10203.578528781261,553.7790128862862
3608.2317404225328,-17380.66770032404
-13744.038225327615,-5025.036566346113
-7903.433115903324,-24135.15479783559
-13677.97610869346,538.9910739089428
-4640.021861391125,5480.615457900048
1775.611669572696,18565.732536286927
-2015.0627212630816,34276.29095478023
-17697.118875206063,27351.390953235517
-8545.690658653957,-17309.155413730256
7276.570924440854,-8073.296132403005
-21329.742328950262,20678.15754590991
-5899.2953762749075,23488.60562977372
-7361.37535065013,20902.87000988171
-14808.855234343153,-9489.554131815094
-6720.541851296788,-19144.308832179344
1635.0875681951861,-11867.621516838524
9353.576566371654,9638.91982348951
4996.629624916593,-67.12906622756918
-4015.8596338359116,11722.652420122859
-13808.632928498082,32864.86101859907
8591.55116343253,-4674.1380906710965
7937.229590694465,-28400.880090700313
-20742.31000334868,-18323.596343036068
-10991.665191508979,15530.35151569539
14547.18495302783,-25691.187063097204
11976.916910224836,32086.85604226552
457.4814859480821,-22442.37768960201
-13368.25842011651,36261.40957589462
-22083.874562572106,-12030.091446403912
1460.4044278585252,10245.617865970495
10174.271543455146,17356.740379139002
21003.50877779835,-32328.530675944585
-1542.8935762817105,-10759.641098074906
1440.081814329888,-7712.919686107297
1090.353672014468,-6143.407943662808
-11476.74547097776,1206.1219728060628
-4349.1485228210295,7859.804268527199
-4640.717064554597,21292.33447162184
-18904.98084069865,-3075.4685148938484
9629.110082191795,14276.70452658119
7405.639656914123,-17545.718894355257
-6412.548711751101,16858.868621636586
-1667.6100983207325,-7419.065828441197
-2522.0198644012225,-9976.328669214852
9028.154986817539,-18943.683799447987
9272.524883697246,5440.9958453240815
4261.479250417875,4979.268804592911
5084.100146773246,-40776.849559272094
581.7600585366145,-23938.70644336327
3650.666144351786,-11116.40389600744
6872.748714279811,4162.984591711893
-3227.7019084423237,-3549.792437573855
-8941.588938551029,19474.343215399193
-4108.045533917746,-7570.550694538332
5688.729036930951,1112.9787939801677
-5109.626477063198,10895.228198944495
-4355.35476313297,-27314.886415907065
18504.263319997015,-31811.575567299486
-6028.685663304124,9088.290247151977
22053.969600905257,-44033.985104280546
-2537.512291928476,14494.295861125238
6624.07809685028,-10821.184196704864
-2024.2032011419412,9333.167744200437
-662.2285685399665,14740.664613715098
-1195.8858158794058,949.6833387374255
-7377.226061546243,42785.34134539319
-4319.522647329115,7988.939232151149
4331.831178233847,-10644.69911704113
4617.214465052883,-5447.565918425638
-25052.17658935269,15501.806088589961
8257.126203353455,-6588.32896992114
-4474.583644159292,13268.62532272675
-15508.535890503921,11326.611841078411
-6214.131074450202,43084.55851287021
6016.521494262498,-14049.924009326722
-9638.4078720388,11812.81939961996
-7696.827132659977,7101.531108141075
4644.442922626386,-23852.438464526593
-5143.901411437804,8980.824561364674
9958.153153591582,-21557.528032270573
7567.104021411017,-24581.954073888595
21686.50090954618,-15825.629821602057
2143.1991032708916,9538.75651955032
-3415.62342473885,-18355.143608595044
19673.17055490076,-43018.1033214452
9810.586999715328,7751.789269404269
-1669.6794881073183,-3274.1319251185737
21099.732129504802,-24015.833098038955
1613.1390998227243,-25791.239202532477
-9400.640523907034,66533.30291138456
-14264.556709428634,35626.58125858512
8582.285629582215,-38439.58610360386
-2915.6676737922808,-3074.9570859597343
-5059.728213826091,18961.36732097445
10721.086660787641,-12920.039627918424
-2777.3296193815618,19933.55850573162
-7662.1550181283255,343.5837110220641
1295.9936011358673,13102.963049427175
-168.23938939965967,-2348.4126030728876
-1061.986494708148,-2735.4806427100366
17988.431419547902,13576.262045004238
5158.222398536361,-11897.949240735403
-2695.8604666904134,19592.871349143643
11373.959064210218,-29627.854738893653
-12733.585693562853,-13352.511045212812
-3510.7909141082882,5933.459076615702
334.51466121882277,-19641.694611859304
23766.457021704486,-28439.379803822092
11797.019688439603,-24153.917706635715
10250.306517718207,-15589.659289802294
3386.7892436475636,-237.5306592332829
-3716.430711896295,-520.7094647051807
5152.551208497616,5700.654194971809
1763.282513590274,25093.026417230958
-9640.736878762435,36046.02968996128
